feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,hlevel,model
"(21,)",[1. 1. 1. 1. 1.],1.0,"('ela_meta.quad_w_interact.adj_r2',)",0.0,0.0,0.0,funnel_structure,gbm
"(0, 21)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,gbm
"(0, 1, 21)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.std_dist_between_opt', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,gbm
"(0, 1, 2, 21)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,gbm
"(0, 1, 2, 3, 21)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,gbm
"(0, 1, 2, 3, 4, 21)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'hill_climbing.additional_function_eval', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,gbm
"(0, 1, 2, 3, 4, 5, 21)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,gbm
"(0, 1, 2, 3, 4, 5, 6, 21)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,gbm
"(0, 1, 2, 3, 4, 5, 6, 7, 21)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'gradient.additional_function_eval', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,gbm
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 21)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.std_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'gradient.additional_function_eval', 'fitness_distance.fd_correlation', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,gbm
