feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,hlevel,model
"(53,)",[0.80833695 0.84098431 0.82381409 0.84525964 0.82651698],0.8289823949321328,"('ic_eps.max',)",0.016934833894866094,0.013175876102173025,0.006587938051086512,multimodality,gbm
"(53, 89)",[0.98755578 0.98333255 0.96660204 0.9792406  0.99583206],0.982512605352453,"('ic_eps.max', 'ela_curv.grad_norm.mean')",0.012426389923181354,0.009668153525542655,0.0048340767627713275,multimodality,gbm
"(53, 89, 122)",[0.9917214  0.99166097 0.9833659  0.99585702 1.        ],0.9925210572280744,"('ic_eps.max', 'ela_curv.grad_norm.mean', 'ela_local.fun_evals.uq')",0.0070926490506950145,0.005518321922040415,0.0027591609610202075,multimodality,gbm
"(39, 53, 89, 122)",[0.9917214  0.99166097 1.         0.99585702 1.        ],0.9958478779710285,"('disp.ratio_median_02', 'ic_eps.max', 'ela_curv.grad_norm.mean', 'ela_local.fun_evals.uq')",0.004775969354191117,0.0037158664129368513,0.0018579332064684255,multimodality,gbm
"(11, 39, 53, 89, 122)",[0.99583437 0.99583206 1.         1.         1.        ],0.9983332867785208,"('fitness_distance.distance_std', 'disp.ratio_median_02', 'ic_eps.max', 'ela_curv.grad_norm.mean', 'ela_local.fun_evals.uq')",0.0026236625538793483,0.0020412986013582917,0.0010206493006791459,multimodality,gbm
"(11, 39, 53, 77, 89, 122)",[1.         0.99583206 1.         1.         1.        ],0.9991664118884163,"('fitness_distance.distance_std', 'disp.ratio_median_02', 'ic_eps.max', 'ela_conv.additional_function_eval', 'ela_curv.grad_norm.mean', 'ela_local.fun_evals.uq')",0.002142806458854796,0.0016671762231672102,0.0008335881115836051,multimodality,gbm
"(11, 39, 53, 77, 89, 94, 122)",[1.         0.99583206 1.         1.         1.        ],0.9991664118884163,"('fitness_distance.distance_std', 'disp.ratio_median_02', 'ic_eps.max', 'ela_conv.additional_function_eval', 'ela_curv.grad_norm.mean', 'ela_curv.grad_norm.nas', 'ela_local.fun_evals.uq')",0.002142806458854796,0.0016671762231672102,0.0008335881115836051,multimodality,gbm
"(11, 39, 53, 77, 89, 94, 110, 122)",[1.         0.99583206 1.         1.         1.        ],0.9991664118884163,"('fitness_distance.distance_std', 'disp.ratio_median_02', 'ic_eps.max', 'ela_conv.additional_function_eval', 'ela_curv.grad_norm.mean', 'ela_curv.grad_norm.nas', 'ela_curv.hessian_cond.nas', 'ela_local.fun_evals.uq')",0.002142806458854796,0.0016671762231672102,0.0008335881115836051,multimodality,gbm
"(11, 39, 53, 77, 89, 94, 102, 110, 122)",[1.         0.99583206 1.         1.         1.        ],0.9991664118884163,"('fitness_distance.distance_std', 'disp.ratio_median_02', 'ic_eps.max', 'ela_conv.additional_function_eval', 'ela_curv.grad_norm.mean', 'ela_curv.grad_norm.nas', 'ela_curv.grad_scale.nas', 'ela_curv.hessian_cond.nas', 'ela_local.fun_evals.uq')",0.002142806458854796,0.0016671762231672102,0.0008335881115836051,multimodality,gbm
"(7, 11, 39, 53, 77, 89, 94, 102, 110, 122)",[0.99583437 0.99583206 1.         1.         1.        ],0.9983332867785208,"('gradient.additional_function_eval', 'fitness_distance.distance_std', 'disp.ratio_median_02', 'ic_eps.max', 'ela_conv.additional_function_eval', 'ela_curv.grad_norm.mean', 'ela_curv.grad_norm.nas', 'ela_curv.grad_scale.nas', 'ela_curv.hessian_cond.nas', 'ela_local.fun_evals.uq')",0.0026236625538793483,0.0020412986013582917,0.0010206493006791459,multimodality,gbm
"(7, 11, 26, 39, 53, 77, 89, 94, 102, 110, 122)",[0.99583437 0.99583206 1.         1.         1.        ],0.9983332867785208,"('gradient.additional_function_eval', 'fitness_distance.distance_std', 'pca.expl_var_PC1.cov_x', 'disp.ratio_median_02', 'ic_eps.max', 'ela_conv.additional_function_eval', 'ela_curv.grad_norm.mean', 'ela_curv.grad_norm.nas', 'ela_curv.grad_scale.nas', 'ela_curv.hessian_cond.nas', 'ela_local.fun_evals.uq')",0.0026236625538793483,0.0020412986013582917,0.0010206493006791459,multimodality,gbm
"(7, 11, 26, 39, 53, 77, 89, 94, 102, 110, 112, 122)",[1.         0.99583206 1.         1.         1.        ],0.9991664118884163,"('gradient.additional_function_eval', 'fitness_distance.distance_std', 'pca.expl_var_PC1.cov_x', 'disp.ratio_median_02', 'ic_eps.max', 'ela_conv.additional_function_eval', 'ela_curv.grad_norm.mean', 'ela_curv.grad_norm.nas', 'ela_curv.grad_scale.nas', 'ela_curv.hessian_cond.nas', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.uq')",0.002142806458854796,0.0016671762231672102,0.0008335881115836051,multimodality,gbm
"(7, 11, 26, 39, 53, 77, 89, 94, 102, 110, 111, 112, 122)",[1.         0.99583206 1.         1.         1.        ],0.9991664118884163,"('gradient.additional_function_eval', 'fitness_distance.distance_std', 'pca.expl_var_PC1.cov_x', 'disp.ratio_median_02', 'ic_eps.max', 'ela_conv.additional_function_eval', 'ela_curv.grad_norm.mean', 'ela_curv.grad_norm.nas', 'ela_curv.grad_scale.nas', 'ela_curv.hessian_cond.nas', 'ela_curv.costs_fun_evals:', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.uq')",0.002142806458854796,0.0016671762231672102,0.0008335881115836051,multimodality,gbm
"(7, 11, 22, 26, 39, 53, 77, 89, 94, 102, 110, 111, 112, 122)",[1.         0.99583206 1.         1.         1.        ],0.9991664118884163,"('gradient.additional_function_eval', 'fitness_distance.distance_std', 'pca.expl_var.cov_x', 'pca.expl_var_PC1.cov_x', 'disp.ratio_median_02', 'ic_eps.max', 'ela_conv.additional_function_eval', 'ela_curv.grad_norm.mean', 'ela_curv.grad_norm.nas', 'ela_curv.grad_scale.nas', 'ela_curv.hessian_cond.nas', 'ela_curv.costs_fun_evals:', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.uq')",0.002142806458854796,0.0016671762231672102,0.0008335881115836051,multimodality,gbm
