feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,hlevel,model
"(119,)",[0.8148518  0.85394247 0.87469374 0.79527769 0.88025965],0.8438050711365346,"('ela_local.fun_evals.lq',)",0.04293337843156177,0.033403627007729704,0.016701813503864852,global_structure,rf
"(73, 119)",[0.99586052 1.         1.         0.98040472 0.99580494],0.9944140369377411,"('ela_conv.conv_prob', 'ela_local.fun_evals.lq')",0.009316254626297855,0.007248362603049163,0.003624181301524581,global_structure,rf
"(73, 119, 143)",[1. 1. 1. 1. 1.],1.0,"('ela_conv.conv_prob', 'ela_local.fun_evals.lq', 'lon.additional_function_eval')",0.0,0.0,0.0,global_structure,rf
"(1, 73, 119, 143)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'ela_conv.conv_prob', 'ela_local.fun_evals.lq', 'lon.additional_function_eval')",0.0,0.0,0.0,global_structure,rf
"(1, 4, 73, 119, 143)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.additional_function_eval', 'ela_conv.conv_prob', 'ela_local.fun_evals.lq', 'lon.additional_function_eval')",0.0,0.0,0.0,global_structure,rf
"(1, 2, 4, 73, 119, 143)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'ela_conv.conv_prob', 'ela_local.fun_evals.lq', 'lon.additional_function_eval')",0.0,0.0,0.0,global_structure,rf
"(1, 2, 4, 5, 73, 119, 143)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'ela_conv.conv_prob', 'ela_local.fun_evals.lq', 'lon.additional_function_eval')",0.0,0.0,0.0,global_structure,rf
"(0, 1, 2, 4, 5, 73, 119, 143)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'ela_conv.conv_prob', 'ela_local.fun_evals.lq', 'lon.additional_function_eval')",0.0,0.0,0.0,global_structure,rf
"(0, 1, 2, 4, 5, 6, 73, 119, 143)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'ela_conv.conv_prob', 'ela_local.fun_evals.lq', 'lon.additional_function_eval')",0.0,0.0,0.0,global_structure,rf
"(0, 1, 2, 4, 5, 6, 9, 73, 119, 143)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_cov', 'ela_conv.conv_prob', 'ela_local.fun_evals.lq', 'lon.additional_function_eval')",0.0,0.0,0.0,global_structure,rf
