feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,hlevel,model
"(53,)",[0.81232344 0.8349842  0.81107498 0.84040328 0.78940879],0.8176389373741412,"('ic_eps.max',)",0.02361128826962515,0.018370384426834214,0.009185192213417107,multimodality,rf
"(53, 73)",[0.97500913 0.94416064 0.97586285 1.         1.        ],0.9790065239544405,"('ic_eps.max', 'ela_conv.conv_prob')",0.026475430407846803,0.020598784314692687,0.010299392157346342,multimodality,rf
"(53, 73, 123)",[0.99584884 0.9779601  1.         1.         1.        ],0.9947617877134206,"('ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.010993481562982216,0.008553302140701184,0.004276651070350592,multimodality,rf
"(21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(2, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_local_to_global', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(2, 6, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.avg_dist_local_to_global', 'gradient.g_std', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(1, 2, 6, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_std', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(1, 2, 5, 6, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(1, 2, 5, 6, 10, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.distance_mean', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(1, 2, 4, 5, 6, 10, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.distance_mean', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(1, 2, 4, 5, 6, 8, 10, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(1, 2, 4, 5, 6, 7, 8, 10, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'gradient.additional_function_eval', 'fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(1, 2, 4, 5, 6, 7, 8, 9, 10, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'gradient.additional_function_eval', 'fitness_distance.fd_correlation', 'fitness_distance.fd_cov', 'fitness_distance.distance_mean', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'gradient.additional_function_eval', 'fitness_distance.fd_correlation', 'fitness_distance.fd_cov', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'gradient.additional_function_eval', 'fitness_distance.fd_correlation', 'fitness_distance.fd_cov', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'fitness_distance.fitness_mean', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
"(1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 21, 53, 73, 123)",[1. 1. 1. 1. 1.],1.0,"('hill_climbing.std_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'hill_climbing.additional_function_eval', 'gradient.g_avg', 'gradient.g_std', 'gradient.additional_function_eval', 'fitness_distance.fd_correlation', 'fitness_distance.fd_cov', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'fitness_distance.fitness_mean', 'fitness_distance.fitness_std', 'ela_meta.quad_w_interact.adj_r2', 'ic_eps.max', 'ela_conv.conv_prob', 'ela_local.fun_evals.max')",0.0,0.0,0.0,multimodality,rf
