feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,hlevel,model
"(21,)",[1. 1. 1. 1. 1.],1.0,"('ela_meta.quad_w_interact.adj_r2',)",0.0,0.0,0.0,funnel_structure,svm
"(11, 21)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.distance_std', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,svm
"(11, 14, 21)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,svm
"(11, 14, 19, 21)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_w_interact.adj_r2')",0.0,0.0,0.0,funnel_structure,svm
"(11, 14, 19, 21, 22)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x')",0.0,0.0,0.0,funnel_structure,svm
"(11, 14, 19, 21, 22, 23)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x')",0.0,0.0,0.0,funnel_structure,svm
"(11, 14, 19, 21, 22, 23, 24)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'pca.expl_var.cov_init')",0.0,0.0,0.0,funnel_structure,svm
"(8, 11, 14, 19, 21, 22, 23, 24)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.fd_correlation', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'pca.expl_var.cov_init')",0.0,0.0,0.0,funnel_structure,svm
"(8, 10, 11, 14, 19, 21, 22, 23, 24)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'pca.expl_var.cov_init')",0.0,0.0,0.0,funnel_structure,svm
"(8, 10, 11, 14, 19, 20, 21, 22, 23, 24)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'pca.expl_var.cov_init')",0.0,0.0,0.0,funnel_structure,svm
"(8, 10, 11, 14, 19, 20, 21, 22, 23, 24, 25)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'pca.expl_var.cov_init', 'pca.expl_var.cor_init')",0.0,0.0,0.0,funnel_structure,svm
"(8, 10, 11, 14, 19, 20, 21, 22, 23, 24, 25, 26)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'pca.expl_var.cov_init', 'pca.expl_var.cor_init', 'pca.expl_var_PC1.cov_x')",0.0,0.0,0.0,funnel_structure,svm
"(8, 10, 11, 14, 19, 20, 21, 22, 23, 24, 25, 26, 27)",[1. 1. 1. 1. 1.],1.0,"('fitness_distance.fd_correlation', 'fitness_distance.distance_mean', 'fitness_distance.distance_std', 'ela_meta.lin_simple.adj_r2', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.adj_r2', 'ela_meta.quad_w_interact.adj_r2', 'pca.expl_var.cov_x', 'pca.expl_var.cor_x', 'pca.expl_var.cov_init', 'pca.expl_var.cor_init', 'pca.expl_var_PC1.cov_x', 'pca.expl_var_PC1.cor_x')",0.0,0.0,0.0,funnel_structure,svm
