feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,hlevel,model
"(2,)",[0.80364372 0.75260417 0.8359375  0.81310692 0.69444444],0.7799473503589105,"('hill_climbing.avg_dist_local_to_global',)",0.0651691127463471,0.05070378372560966,0.025351891862804826,global_structure,svm
"(2, 142)",[0.87656494 0.82182815 0.89427083 0.89650538 0.76573612],0.8509810837652798,"('hill_climbing.avg_dist_local_to_global', 'lon.n_funnels')",0.06482147822467514,0.050433312257461595,0.025216656128730797,global_structure,svm
"(2, 124, 142)",[0.90942621 0.85453696 0.89427083 0.91744555 0.81762017],0.8786599437768924,"('hill_climbing.avg_dist_local_to_global', 'ela_local.fun_evals.sd', 'lon.n_funnels')",0.048099285870041995,0.037422878497721815,0.018711439248860907,global_structure,svm
"(2, 6, 124, 142)",[0.90950715 0.91317204 0.90372521 0.93401316 0.86777775],0.9056390600835356,"('hill_climbing.avg_dist_local_to_global', 'gradient.g_std', 'ela_local.fun_evals.sd', 'lon.n_funnels')",0.02764982589049242,0.02151250389826541,0.010756251949132704,global_structure,svm
"(2, 6, 63, 124, 142)",[0.91779171 0.92156052 0.91279887 0.93817204 0.88468121],0.9150008702002236,"('hill_climbing.avg_dist_local_to_global', 'gradient.g_std', 'cm_angle.angle_mean', 'ela_local.fun_evals.sd', 'lon.n_funnels')",0.022349665800355353,0.01738879928428045,0.008694399642140225,global_structure,svm
"(2, 63, 118, 124, 140, 142)",[0.9912313  0.94636252 0.9332265  0.98669468 0.96103483],0.9637099646252825,"('hill_climbing.avg_dist_local_to_global', 'cm_angle.angle_mean', 'ela_local.fun_evals.min', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.02887218251961288,0.022463538883193346,0.011231769441596672,global_structure,svm
"(2, 63, 118, 123, 124, 140, 142)",[0.97895295 0.97923102 0.99575784 0.98755411 0.9423405 ],0.9767672847688822,"('hill_climbing.avg_dist_local_to_global', 'cm_angle.angle_mean', 'ela_local.fun_evals.min', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.02351096988521994,0.018292333315621724,0.009146166657810862,global_structure,svm
"(2, 118, 119, 120, 123, 124, 140, 142)",[0.97895295 0.97923102 0.99575784 0.98755411 0.9583095 ],0.9799610841857612,"('hill_climbing.avg_dist_local_to_global', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.mean', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.01602786095183692,0.012470220339644502,0.00623511016982225,global_structure,svm
"(2, 118, 119, 120, 121, 123, 124, 140, 142)",[0.97895295 0.97925685 0.99575784 0.98755411 0.9583095 ],0.979966250378198,"('hill_climbing.avg_dist_local_to_global', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.mean', 'ela_local.fun_evals.median', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.016027477710993512,0.012469922165248379,0.006234961082624189,global_structure,svm
"(2, 5, 118, 119, 120, 121, 123, 124, 140, 142)",[0.97895295 0.97925685 0.99575784 0.98755411 0.9583095 ],0.979966250378198,"('hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'ela_local.fun_evals.min', 'ela_local.fun_evals.lq', 'ela_local.fun_evals.mean', 'ela_local.fun_evals.median', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.016027477710993512,0.012469922165248379,0.006234961082624189,global_structure,svm
