feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,hlevel,model
"(140,)",[0.70833333 0.65968575 0.69611292 0.70833333 0.7001802 ],0.694529105994025,"('lon.n_optima',)",0.023203799249367323,0.01805334412533231,0.009026672062666155,multimodality,svm
"(123, 140)",[0.9370485  0.9595021  0.86844278 0.95170619 0.90632779],0.9246054740352451,"('ela_local.fun_evals.max', 'lon.n_optima')",0.042996292470089494,0.03345257626710095,0.01672628813355047,multimodality,svm
"(122, 123, 140)",[0.94116541 0.9595021  0.88502403 0.94347906 0.91071707],0.927977536521646,"('ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'lon.n_optima')",0.0342521867161292,0.026649364924508083,0.013324682462254041,multimodality,svm
"(122, 123, 140, 142)",[0.9370485  0.95384491 0.88836188 0.9358693  0.91071707],0.925168332471596,"('ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'lon.n_optima', 'lon.n_funnels')",0.029542397198665436,0.02298498867289168,0.011492494336445839,multimodality,svm
"(112, 122, 123, 140, 142)",[0.9370485  0.95384491 0.88836188 0.9358693  0.91071707],0.925168332471596,"('ela_local.n_loc_opt.abs', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'lon.n_optima', 'lon.n_funnels')",0.029542397198665436,0.02298498867289168,0.011492494336445839,multimodality,svm
"(112, 122, 123, 124, 140, 142)",[0.92839069 0.95384491 0.88836188 0.9358693  0.91071707],0.9234367694010237,"('ela_local.n_loc_opt.abs', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.02871583886990634,0.022341898212214023,0.01117094910610701,multimodality,svm
"(0, 112, 122, 123, 124, 140, 142)",[0.92381334 0.95384491 0.88836188 0.94877359 0.91071707],0.9251021584797263,"('hill_climbing.avg_dist_between_opt', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.03119272593065664,0.024269000493472005,0.012134500246736001,multimodality,svm
"(0, 63, 112, 122, 123, 124, 140, 142)",[0.92381334 0.95384491 0.88836188 0.94877359 0.91071707],0.9251021584797263,"('hill_climbing.avg_dist_between_opt', 'cm_angle.angle_mean', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.03119272593065664,0.024269000493472005,0.012134500246736001,multimodality,svm
"(0, 5, 63, 112, 122, 123, 124, 140, 142)",[0.9190424  0.95384491 0.88836188 0.94877359 0.91488074],0.9249807044588565,"('hill_climbing.avg_dist_between_opt', 'gradient.g_avg', 'cm_angle.angle_mean', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.030833346855722723,0.02398939136388507,0.011994695681942533,multimodality,svm
"(0, 2, 5, 63, 112, 122, 123, 124, 140, 142)",[0.9190424  0.95384491 0.88836188 0.94877359 0.91488074],0.9249807044588565,"('hill_climbing.avg_dist_between_opt', 'hill_climbing.avg_dist_local_to_global', 'gradient.g_avg', 'cm_angle.angle_mean', 'ela_local.n_loc_opt.abs', 'ela_local.fun_evals.uq', 'ela_local.fun_evals.max', 'ela_local.fun_evals.sd', 'lon.n_optima', 'lon.n_funnels')",0.030833346855722723,0.02398939136388507,0.011994695681942533,multimodality,svm
